dep;sexe;Dc_Elec_Covid_cum;jour
01;1;42;2020-04-14
01;1;43;2020-04-15
01;1;43;2020-04-16
01;1;43;2020-04-17
01;1;43;2020-04-18
01;1;45;2020-04-19
01;1;48;2020-04-20
01;1;49;2020-04-21
01;1;50;2020-04-22
01;1;50;2020-04-23
01;1;50;2020-04-24
01;1;50;2020-04-25
01;1;51;2020-04-26
01;1;53;2020-04-27
01;1;53;2020-04-28
01;1;53;2020-04-29
01;1;54;2020-04-30
01;1;55;2020-05-01
01;1;56;2020-05-02
01;1;56;2020-05-03
01;1;57;2020-05-04
01;1;57;2020-05-05
01;1;57;2020-05-06
01;1;57;2020-05-07
01;1;58;2020-05-08
01;1;58;2020-05-09
01;1;59;2020-05-10
01;1;59;2020-05-11
01;1;59;2020-05-12
01;1;59;2020-05-13
01;1;59;2020-05-14
01;1;59;2020-05-15
01;1;59;2020-05-16
01;1;59;2020-05-17
01;2;0;2020-03-06
01;2;0;2020-03-07
01;2;0;2020-03-08
01;2;0;2020-03-09
01;2;0;2020-03-10
01;2;0;2020-03-11
01;2;0;2020-03-12
01;2;0;2020-03-13
01;2;0;2020-03-14
01;2;0;2020-03-15
01;2;0;2020-03-16
01;2;0;2020-03-17
01;2;1;2020-03-18
01;2;1;2020-03-19
01;2;1;2020-03-20
01;2;1;2020-03-21
01;2;1;2020-03-22
01;2;3;2020-03-23
01;2;4;2020-03-24
01;2;4;2020-03-25
01;2;4;2020-03-26
01;2;5;2020-03-27
01;2;6;2020-03-28
01;2;6;2020-03-29
01;2;7;2020-03-30
01;2;9;2020-03-31
01;2;10;2020-04-01
01;2;12;2020-04-02
01;2;13;2020-04-03
01;2;13;2020-04-04
01;2;13;2020-04-05
01;2;14;2020-04-06
01;2;14;2020-04-07
01;2;17;2020-04-08
01;2;19;2020-04-09
01;2;20;2020-04-10
01;2;23;2020-04-11
01;2;24;2020-04-12
01;2;25;2020-04-13
01;2;27;2020-04-14
01;2;27;2020-04-15
01;2;28;2020-04-16
01;2;29;2020-04-17
01;2;30;2020-04-18
01;2;31;2020-04-19
01;2;32;2020-04-20
01;2;32;2020-04-21
01;2;33;2020-04-22
01;2;33;2020-04-23
01;2;33;2020-04-24
01;2;33;2020-04-25
01;2;33;2020-04-26
01;2;33;2020-04-27
01;2;33;2020-04-28
01;2;34;2020-04-29
01;2;34;2020-04-30
01;2;34;2020-05-01
01;2;34;2020-05-02
01;2;34;2020-05-03
01;2;34;2020-05-04
01;2;34;2020-05-05
01;2;34;2020-05-06
01;2;35;2020-05-07
01;2;36;2020-05-08
01;2;36;2020-05-09
01;2;36;2020-05-10
01;2;36;2020-05-11
01;2;36;2020-05-12
01;2;36;2020-05-13
01;2;36;2020-05-14
01;2;36;2020-05-15
01;2;36;2020-05-16
01;2;36;2020-05-17
02;0;0;2020-03-06
02;0;0;2020-03-07
02;0;0;2020-03-08
02;0;0;2020-03-09
02;0;0;2020-03-10
02;0;0;2020-03-11
02;0;0;2020-03-12
02;0;0;2020-03-13
02;0;0;2020-03-14
02;0;0;2020-03-15
02;0;0;2020-03-16
02;0;0;2020-03-17
02;0;0;2020-03-18
02;0;0;2020-03-19
02;0;0;2020-03-20
02;0;0;2020-03-21
02;0;0;2020-03-22
02;0;0;2020-03-23
02;0;0;2020-03-24
02;0;0;2020-03-25
02;0;0;2020-03-26
02;0;0;2020-03-27
02;0;0;2020-03-28
02;0;0;2020-03-29
02;0;1;2020-03-30
02;0;1;2020-03-31
02;0;1;2020-04-01
02;0;1;2020-04-02
02;0;1;2020-04-03
02;0;2;2020-04-04
02;0;2;2020-04-05
02;0;2;2020-04-06
02;0;3;2020-04-07
02;0;4;2020-04-08
02;0;4;2020-04-09
02;0;6;2020-04-10
02;0;8;2020-04-11
02;0;8;2020-04-12
02;0;10;2020-04-13
02;0;12;2020-04-14
02;0;15;2020-04-15
02;0;18;2020-04-16
02;0;20;2020-04-17
02;0;22;2020-04-18
02;0;25;2020-04-19
02;0;28;2020-04-20
02;0;29;2020-04-21
02;0;29;2020-04-22
02;0;30;2020-04-23
02;0;31;2020-04-24
02;0;31;2020-04-25
02;0;32;2020-04-26
02;0;34;2020-04-27
02;0;34;2020-04-28
02;0;36;2020-04-29
02;0;36;2020-04-30
02;0;36;2020-05-01
02;0;37;2020-05-02
02;0;37;2020-05-03
02;0;37;2020-05-04
02;0;37;2020-05-05
02;0;37;2020-05-06
02;0;37;2020-05-07
02;0;37;2020-05-08
02;0;37;2020-05-09
02;0;37;2020-05-10
02;0;39;2020-05-11
02;0;40;2020-05-12
02;0;40;2020-05-13
02;0;40;2020-05-14
02;0;40;2020-05-15
02;0;40;2020-05-16
02;0;40;2020-05-17
02;1;0;2020-03-06
02;1;0;2020-03-07
02;1;0;2020-03-08
02;1;0;2020-03-09
02;1;0;2020-03-10
02;1;0;2020-03-11
02;1;0;2020-03-12
02;1;0;2020-03-13
02;1;0;2020-03-14
02;1;0;2020-03-15
02;1;0;2020-03-16
02;1;0;2020-03-17
02;1;0;2020-03-18
02;1;0;2020-03-19
02;1;0;2020-03-20
02;1;0;2020-03-21
02;1;0;2020-03-22
02;1;0;2020-03-23
02;1;0;2020-03-24
02;1;0;2020-03-25
02;1;0;2020-03-26
02;1;0;2020-03-27
02;1;0;2020-03-28
02;1;0;2020-03-29
02;1;0;2020-03-30
02;1;0;2020-03-31
02;1;0;2020-04-01
02;1;0;2020-04-02
02;1;0;2020-04-03
02;1;0;2020-04-04
02;1;0;2020-04-05
02;1;0;2020-04-06
02;1;1;2020-04-07
02;1;1;2020-04-08
02;1;1;2020-04-09
02;1;1;2020-04-10
02;1;2;2020-04-11
02;1;2;2020-04-12
02;1;2;2020-04-13
02;1;2;2020-04-14
02;1;2;2020-04-15
02;1;3;2020-04-16
02;1;4;2020-04-17
02;1;5;2020-04-18
02;1;5;2020-04-19
02;1;6;2020-04-20
02;1;6;2020-04-21
02;1;6;2020-04-22
02;1;6;2020-04-23
02;1;6;2020-04-24
02;1;6;2020-04-25
02;1;7;2020-04-26
02;1;8;2020-04-27
02;1;8;2020-04-28
02;1;10;2020-04-29
02;1;10;2020-04-30
02;1;10;2020-05-01
02;1;10;2020-05-02
02;1;10;2020-05-03
02;1;10;2020-05-04
02;1;10;2020-05-05
02;1;10;2020-05-06
02;1;10;2020-05-07
02;1;10;2020-05-08
02;1;10;2020-05-09
02;1;10;2020-05-10
02;1;10;2020-05-11
02;1;11;2020-05-12
02;1;11;2020-05-13
02;1;11;2020-05-14
02;1;11;2020-05-15
02;1;11;2020-05-16
02;1;11;2020-05-17
02;2;0;2020-03-06
02;2;0;2020-03-07
02;2;0;2020-03-08
02;2;0;2020-03-09
02;2;0;2020-03-10
02;2;0;2020-03-11
02;2;0;2020-03-12
02;2;0;2020-03-13
02;2;0;2020-03-14
02;2;0;2020-03-15
02;2;0;2020-03-16
02;2;0;2020-03-17
02;2;0;2020-03-18
02;2;0;2020-03-19
02;2;0;2020-03-20
02;2;0;2020-03-21
02;2;0;2020-03-22
02;2;0;2020-03-23
02;2;0;2020-03-24
02;2;0;2020-03-25
02;2;0;2020-03-26
02;2;0;2020-03-27
02;2;0;2020-03-28
02;2;0;2020-03-29
02;2;1;2020-03-30
02;2;1;2020-03-31
02;2;1;2020-04-01
02;2;1;2020-04-02
02;2;1;2020-04-03
02;2;2;2020-04-04
02;2;2;2020-04-05
02;2;2;2020-04-06
02;2;2;2020-04-07
02;2;3;2020-04-08
02;2;3;2020-04-09
02;2;5;2020-04-10
02;2;6;2020-04-11
02;2;6;2020-04-12
02;2;8;2020-04-13
02;2;10;2020-04-14
02;2;13;2020-04-15
02;2;15;2020-04-16
02;2;16;2020-04-17
02;2;17;2020-04-18
02;2;20;2020-04-19
02;2;22;2020-04-20
02;2;23;2020-04-21
02;2;23;2020-04-22
02;2;24;2020-04-23
02;2;25;2020-04-24
02;2;25;2020-04-25
02;2;25;2020-04-26
02;2;26;2020-04-27
02;2;26;2020-04-28
02;2;26;2020-04-29
02;2;26;2020-04-30
02;2;26;2020-05-01
02;2;27;2020-05-02
02;2;27;2020-05-03
02;2;27;2020-05-04
02;2;27;2020-05-05
02;2;27;2020-05-06
02;2;27;2020-05-07
02;2;27;2020-05-08
02;2;27;2020-05-09
02;2;27;2020-05-10
02;2;29;2020-05-11
02;2;29;2020-05-12
02;2;29;2020-05-13
02;2;29;2020-05-14
02;2;29;2020-05-15
02;2;29;2020-05-16
02;2;29;2020-05-17
03;0;0;2020-03-06
03;0;0;2020-03-07
03;0;0;2020-03-08
03;0;0;2020-03-09
03;0;0;2020-03-10
03;0;0;2020-03-11
03;0;0;2020-03-12
03;0;0;2020-03-13
03;0;0;2020-03-14
03;0;0;2020-03-15
03;0;0;2020-03-16
03;0;0;2020-03-17
03;0;0;2020-03-18
03;0;0;2020-03-19
03;0;1;2020-03-20
03;0;2;2020-03-21
03;0;2;2020-03-22
03;0;2;2020-03-23
03;0;2;2020-03-24
03;0;3;2020-03-25
03;0;6;2020-03-26
03;0;7;2020-03-27
03;0;8;2020-03-28
03;0;9;2020-03-29
03;0;10;2020-03-30
03;0;10;2020-03-31
03;0;10;2020-04-01
03;0;11;2020-04-02
03;0;12;2020-04-03
03;0;15;2020-04-04
03;0;17;2020-04-05
03;0;20;2020-04-06
03;0;20;2020-04-07
03;0;21;2020-04-08
03;0;22;2020-04-09
03;0;23;2020-04-10
03;0;23;2020-04-11
03;0;24;2020-04-12
03;0;26;2020-04-13
03;0;27;2020-04-14
03;0;28;2020-04-15
03;0;29;2020-04-16
03;0;32;2020-04-17
03;0;33;2020-04-18
03;0;35;2020-04-19
03;0;36;2020-04-20
03;0;37;2020-04-21
03;0;37;2020-04-22
03;0;38;2020-04-23
03;0;38;2020-04-24
03;0;38;2020-04-25
03;0;38;2020-04-26
03;0;38;2020-04-27
03;0;39;2020-04-28
03;0;41;2020-04-29
03;0;42;2020-04-30
03;0;42;2020-05-01
03;0;42;2020-05-02
03;0;42;2020-05-03
03;0;44;2020-05-04
03;0;45;2020-05-05
03;0;45;2020-05-06
03;0;46;2020-05-07
03;0;46;2020-05-08
03;0;47;2020-05-09
03;0;47;2020-05-10
03;0;47;2020-05-11
03;0;48;2020-05-12
03;0;49;2020-05-13
03;0;49;2020-05-14
03;0;49;2020-05-15
03;0;50;2020-05-16
03;0;51;2020-05-17
03;1;0;2020-03-06
03;1;0;2020-03-07
03;1;0;2020-03-08
03;1;0;2020-03-09
03;1;0;2020-03-10
03;1;0;2020-03-11
03;1;0;2020-03-12
03;1;0;2020-03-13
03;1;0;2020-03-14
03;1;0;2020-03-15
03;1;0;2020-03-16
03;1;0;2020-03-17
03;1;0;2020-03-18
03;1;0;2020-03-19
03;1;0;2020-03-20
03;1;1;2020-03-21
03;1;1;2020-03-22
03;1;1;2020-03-23
03;1;1;2020-03-24
03;1;2;2020-03-25
03;1;3;2020-03-26
03;1;4;2020-03-27
03;1;5;2020-03-28
03;1;5;2020-03-29
03;1;6;2020-03-30
03;1;6;2020-03-31
03;1;6;2020-04-01
03;1;6;2020-04-02
03;1;7;2020-04-03
03;1;8;2020-04-04
03;1;9;2020-04-05
03;1;11;2020-04-06
03;1;11;2020-04-07
03;1;12;2020-04-08
03;1;13;2020-04-09
03;1;14;2020-04-10
03;1;14;2020-04-11
03;1;15;2020-04-12
03;1;16;2020-04-13
03;1;17;2020-04-14
03;1;18;2020-04-15
03;1;18;2020-04-16
03;1;18;2020-04-17
03;1;18;2020-04-18
03;1;19;2020-04-19
03;1;19;2020-04-20
03;1;19;2020-04-21
03;1;19;2020-04-22
03;1;19;2020-04-23
03;1;19;2020-04-24
03;1;19;2020-04-25
03;1;19;2020-04-26
03;1;19;2020-04-27
03;1;20;2020-04-28
03;1;20;2020-04-29
03;1;20;2020-04-30
03;1;20;2020-05-01
03;1;20;2020-05-02
03;1;20;2020-05-03
03;1;22;2020-05-04
03;1;22;2020-05-05
03;1;22;2020-05-06
03;1;23;2020-05-07
03;1;23;2020-05-08
03;1;24;2020-05-09
03;1;24;2020-05-10
03;1;24;2020-05-11
03;1;25;2020-05-12
03;1;25;2020-05-13
03;1;25;2020-05-14
03;1;25;2020-05-15
03;1;26;2020-05-16
03;1;26;2020-05-17
03;2;0;2020-03-06
03;2;0;2020-03-07
03;2;0;2020-03-08
03;2;0;2020-03-09
03;2;0;2020-03-10
03;2;0;2020-03-11
03;2;0;2020-03-12
03;2;0;2020-03-13
03;2;0;2020-03-14
03;2;0;2020-03-15
03;2;0;2020-03-16
03;2;0;2020-03-17
03;2;0;2020-03-18
03;2;0;2020-03-19
03;2;1;2020-03-20
03;2;1;2020-03-21
03;2;1;2020-03-22
03;2;1;2020-03-23
03;2;1;2020-03-24
03;2;1;2020-03-25
03;2;3;2020-03-26
03;2;3;2020-03-27
03;2;3;2020-03-28
03;2;4;2020-03-29
03;2;4;2020-03-30
03;2;4;2020-03-31
03;2;4;2020-04-01
03;2;5;2020-04-02
03;2;5;2020-04-03
03;2;7;2020-04-04
03;2;8;2020-04-05
03;2;9;2020-04-06
03;2;9;2020-04-07
03;2;9;2020-04-08
03;2;9;2020-04-09
03;2;9;2020-04-10
03;2;9;2020-04-11
03;2;9;2020-04-12
03;2;10;2020-04-13
03;2;10;2020-04-14
03;2;10;2020-04-15
03;2;11;2020-04-16
03;2;14;2020-04-17
03;2;15;2020-04-18
03;2;16;2020-04-19
03;2;17;2020-04-20
03;2;18;2020-04-21
03;2;18;2020-04-22
03;2;19;2020-04-23
03;2;19;2020-04-24
03;2;19;2020-04-25
03;2;19;2020-04-26
03;2;19;2020-04-27
03;2;19;2020-04-28
03;2;21;2020-04-29
03;2;22;2020-04-30
03;2;22;2020-05-01
03;2;22;2020-05-02
03;2;22;2020-05-03
03;2;22;2020-05-04
03;2;23;2020-05-05
03;2;23;2020-05-06
03;2;23;2020-05-07
03;2;23;2020-05-08
03;2;23;2020-05-09
03;2;23;2020-05-10
03;2;23;2020-05-11
03;2;23;2020-05-12
03;2;24;2020-05-13
03;2;24;2020-05-14
03;2;24;2020-05-15
03;2;24;2020-05-16
03;2;25;2020-05-17
04;0;0;2020-03-06
04;0;0;2020-03-07
04;0;0;2020-03-08
04;0;0;2020-03-09
04;0;0;2020-03-10
04;0;0;2020-03-11
04;0;0;2020-03-12
04;0;0;2020-03-13
04;0;0;2020-03-14
04;0;0;2020-03-15
04;0;0;2020-03-16
04;0;0;2020-03-17
04;0;0;2020-03-18
04;0;0;2020-03-19
04;0;0;2020-03-20
04;0;0;2020-03-21
04;0;0;2020-03-22
04;0;0;2020-03-23
04;0;1;2020-03-24
04;0;1;2020-03-25
04;0;1;2020-03-26
04;0;2;2020-03-27
04;0;2;2020-03-28
04;0;2;2020-03-29
04;0;2;2020-03-30
04;0;2;2020-03-31
04;0;2;2020-04-01
04;0;3;2020-04-02
04;0;3;2020-04-03
04;0;3;2020-04-04
04;0;3;2020-04-05
04;0;3;2020-04-06
04;0;3;2020-04-07
04;0;3;2020-04-08
04;0;3;2020-04-09
04;0;3;2020-04-10
04;0;3;2020-04-11
04;0;3;2020-04-12
04;0;3;2020-04-13
04;0;3;2020-04-14
04;0;3;2020-04-15
04;0;4;2020-04-16
04;0;4;2020-04-17
04;0;4;2020-04-18
04;0;4;2020-04-19
04;0;4;2020-04-20
04;0;4;2020-04-21
04;0;4;2020-04-22
04;0;4;2020-04-23
04;0;4;2020-04-24
04;0;4;2020-04-25
04;0;4;2020-04-26
04;0;4;2020-04-27
04;0;4;2020-04-28
04;0;4;2020-04-29
04;0;4;2020-04-30
04;0;4;2020-05-01
04;0;4;2020-05-02
04;0;4;2020-05-03
04;0;4;2020-05-04
04;0;4;2020-05-05
04;0;5;2020-05-06
04;0;5;2020-05-07
04;0;5;2020-05-08
04;0;5;2020-05-09
04;0;5;2020-05-10
04;0;5;2020-05-11
04;0;5;2020-05-12
04;0;5;2020-05-13
04;0;5;2020-05-14
04;0;5;2020-05-15
04;0;5;2020-05-16
04;0;5;2020-05-17
04;1;0;2020-03-06
04;1;0;2020-03-07
04;1;0;2020-03-08
04;1;0;2020-03-09
04;1;0;2020-03-10
04;1;0;2020-03-11
04;1;0;2020-03-12
04;1;0;2020-03-13
04;1;0;2020-03-14
04;1;0;2020-03-15
04;1;0;2020-03-16
04;1;0;2020-03-17
04;1;0;2020-03-18
04;1;0;2020-03-19
04;1;0;2020-03-20
04;1;0;2020-03-21
04;1;0;2020-03-22
04;1;0;2020-03-23
04;1;0;2020-03-24
04;1;0;2020-03-25
04;1;0;2020-03-26
04;1;0;2020-03-27
04;1;0;2020-03-28
04;1;0;2020-03-29
04;1;0;2020-03-30
04;1;0;2020-03-31
04;1;0;2020-04-01
04;1;1;2020-04-02
04;1;1;2020-04-03
04;1;1;2020-04-04
04;1;1;2020-04-05
04;1;1;2020-04-06
04;1;1;2020-04-07
04;1;1;2020-04-08
04;1;1;2020-04-09
04;1;1;2020-04-10
04;1;1;2020-04-11
04;1;1;2020-04-12
04;1;1;2020-04-13
04;1;1;2020-04-14
04;1;1;2020-04-15
04;1;2;2020-04-16
04;1;2;2020-04-17
04;1;2;2020-04-18
04;1;2;2020-04-19
04;1;2;2020-04-20
04;1;2;2020-04-21
04;1;2;2020-04-22
04;1;2;2020-04-23
04;1;2;2020-04-24
04;1;2;2020-04-25
04;1;2;2020-04-26
04;1;2;2020-04-27
04;1;2;2020-04-28
04;1;2;2020-04-29
04;1;2;2020-04-30
04;1;2;2020-05-01
04;1;2;2020-05-02
04;1;2;2020-05-03
04;1;2;2020-05-04
04;1;2;2020-05-05
04;1;3;2020-05-06
04;1;3;2020-05-07
04;1;3;2020-05-08
04;1;3;2020-05-09
04;1;3;2020-05-10
04;1;3;2020-05-11
04;1;3;2020-05-12
04;1;3;2020-05-13
04;1;3;2020-05-14
04;1;3;2020-05-15
04;1;3;2020-05-16
04;1;3;2020-05-17
04;2;0;2020-03-06
04;2;0;2020-03-07
04;2;0;2020-03-08
04;2;0;2020-03-09
04;2;0;2020-03-10
04;2;0;2020-03-11
04;2;0;2020-03-12
04;2;0;2020-03-13
04;2;0;2020-03-14
04;2;0;2020-03-15
04;2;0;2020-03-16
04;2;0;2020-03-17
04;2;0;2020-03-18
04;2;0;2020-03-19
04;2;0;2020-03-20
04;2;0;2020-03-21
04;2;0;2020-03-22
04;2;0;2020-03-23
04;2;1;2020-03-24
04;2;1;2020-03-25
04;2;1;2020-03-26
04;2;2;2020-03-27
04;2;2;2020-03-28
04;2;2;2020-03-29
04;2;2;2020-03-30
04;2;2;2020-03-31
04;2;2;2020-04-01
04;2;2;2020-04-02
04;2;2;2020-04-03
04;2;2;2020-04-04
04;2;2;2020-04-05
04;2;2;2020-04-06
04;2;2;2020-04-07
04;2;2;2020-04-08
04;2;2;2020-04-09
04;2;2;2020-04-10
04;2;2;2020-04-11
04;2;2;2020-04-12
04;2;2;2020-04-13
04;2;2;2020-04-14
04;2;2;2020-04-15
04;2;2;2020-04-16
04;2;2;2020-04-17
04;2;2;2020-04-18
04;2;2;2020-04-19
04;2;2;2020-04-20
04;2;2;2020-04-21
04;2;2;2020-04-22
04;2;2;2020-04-23
04;2;2;2020-04-24
04;2;2;2020-04-25
04;2;2;2020-04-26
04;2;2;2020-04-27
04;2;2;2020-04-28
04;2;2;2020-04-29
04;2;2;2020-04-30
04;2;2;2020-05-01
04;2;2;2020-05-02
04;2;2;2020-05-03
04;2;2;2020-05-04
04;2;2;2020-05-05
04;2;2;2020-05-06
04;2;2;2020-05-07
04;2;2;2020-05-08
04;2;2;2020-05-09
04;2;2;2020-05-10
04;2;2;2020-05-11
04;2;2;2020-05-12
04;2;2;2020-05-13
04;2;2;2020-05-14
04;2;2;2020-05-15
04;2;2;2020-05-16
04;2;2;2020-05-17
05;0;0;2020-03-06
05;0;0;2020-03-07
05;0;0;2020-03-08
05;0;0;2020-03-09
05;0;0;2020-03-10
05;0;0;2020-03-11
05;0;0;2020-03-12
05;0;0;2020-03-13
05;0;0;2020-03-14
05;0;0;2020-03-15
05;0;0;2020-03-16
05;0;0;2020-03-17
05;0;0;2020-03-18
05;0;0;2020-03-19
05;0;0;2020-03-20
05;0;0;2020-03-21
05;0;0;2020-03-22
05;0;0;2020-03-23
05;0;0;2020-03-24
05;0;0;2020-03-25
05;0;0;2020-03-26
05;0;0;2020-03-27
05;0;0;2020-03-28
05;0;0;2020-03-29
05;0;0;2020-03-30
05;0;0;2020-03-31
05;0;0;2020-04-01
05;0;0;2020-04-02
05;0;0;2020-04-03
05;0;0;2020-04-04
05;0;0;2020-04-05
05;0;0;2020-04-06
05;0;0;2020-04-07
05;0;0;2020-04-08
05;0;0;2020-04-09
05;0;0;2020-04-10
05;0;1;2020-04-11
05;0;1;2020-04-12
05;0;1;2020-04-13
05;0;2;2020-04-14
05;0;2;2020-04-15
05;0;3;2020-04-16
05;0;3;2020-04-17
05;0;3;2020-04-18
05;0;3;2020-04-19
05;0;3;2020-04-20
05;0;3;2020-04-21
05;0;3;2020-04-22
05;0;3;2020-04-23
05;0;3;2020-04-24
05;0;3;2020-04-25
05;0;3;2020-04-26
05;0;3;2020-04-27
05;0;5;2020-04-28
05;0;5;2020-04-29
05;0;5;2020-04-30
05;0;5;2020-05-01
05;0;5;2020-05-02
05;0;5;2020-05-03
05;0;6;2020-05-04
05;0;7;2020-05-05
05;0;7;2020-05-06
05;0;8;2020-05-07
05;0;8;2020-05-08
05;0;8;2020-05-09
05;0;9;2020-05-10
05;0;9;2020-05-11
05;0;10;2020-05-12
05;0;10;2020-05-13
05;0;10;2020-05-14
05;0;10;2020-05-15
05;0;10;2020-05-16
05;0;10;2020-05-17
05;1;0;2020-03-06
05;1;0;2020-03-07
05;1;0;2020-03-08
05;1;0;2020-03-09
05;1;0;2020-03-10
05;1;0;2020-03-11
05;1;0;2020-03-12
05;1;0;2020-03-13
05;1;0;2020-03-14
05;1;0;2020-03-15
05;1;0;2020-03-16
05;1;0;2020-03-17
05;1;0;2020-03-18
05;1;0;2020-03-19
05;1;0;2020-03-20
05;1;0;2020-03-21
05;1;0;2020-03-22
05;1;0;2020-03-23
05;1;0;2020-03-24
05;1;0;2020-03-25
05;1;0;2020-03-26
05;1;0;2020-03-27
05;1;0;2020-03-28
05;1;0;2020-03-29
05;1;0;2020-03-30
05;1;0;2020-03-31
05;1;0;2020-04-01
05;1;0;2020-04-02
05;1;0;2020-04-03
05;1;0;2020-04-04
05;1;0;2020-04-05
05;1;0;2020-04-06
05;1;0;2020-04-07
05;1;0;2020-04-08
05;1;0;2020-04-09
05;1;0;2020-04-10
05;1;1;2020-04-11
05;1;1;2020-04-12
05;1;1;2020-04-13
05;1;2;2020-04-14
05;1;2;2020-04-15
05;1;2;2020-04-16
05;1;2;2020-04-17
05;1;2;2020-04-18
05;1;2;2020-04-19
05;1;2;2020-04-20
05;1;2;2020-04-21
05;1;2;2020-04-22
05;1;2;2020-04-23
05;1;2;2020-04-24
05;1;2;2020-04-25
05;1;2;2020-04-26
05;1;2;2020-04-27
05;1;3;2020-04-28
05;1;3;2020-04-29
05;1;3;2020-04-30
05;1;3;2020-05-01
05;1;3;2020-05-02
05;1;3;2020-05-03
05;1;3;2020-05-04
05;1;3;2020-05-05
05;1;3;2020-05-06
05;1;3;2020-05-07
05;1;3;2020-05-08
05;1;3;2020-05-09
05;1;4;2020-05-10
05;1;4;2020-05-11
05;1;4;2020-05-12
05;1;4;2020-05-13
05;1;4;2020-05-14
05;1;4;2020-05-15
05;1;4;2020-05-16
05;1;4;2020-05-17
05;2;0;2020-03-06
05;2;0;2020-03-07
05;2;0;2020-03-08
05;2;0;2020-03-09
05;2;0;2020-03-10
05;2;0;2020-03-11
05;2;0;2020-03-12
05;2;0;2020-03-13
05;2;0;2020-03-14
05;2;0;2020-03-15
05;2;0;2020-03-16
05;2;0;2020-03-17
05;2;0;2020-03-18
05;2;0;2020-03-19
05;2;0;2020-03-20
05;2;0;2020-03-21
05;2;0;2020-03-22
05;2;0;2020-03-23
05;2;0;2020-03-24
05;2;0;2020-03-25
05;2;0;2020-03-26
05;2;0;2020-03-27
05;2;0;2020-03-28
05;2;0;2020-03-29
05;2;0;2020-03-30
05;2;0;2020-03-31
05;2;0;2020-04-01
05;2;0;2020-04-02
05;2;0;2020-04-03
05;2;0;2020-04-04
05;2;0;2020-04-05
05;2;0;2020-04-06
05;2;0;2020-04-07
05;2;0;2020-04-08
05;2;0;2020-04-09
05;2;0;2020-04-10
05;2;0;2020-04-11
05;2;0;2020-04-12
05;2;0;2020-04-13
05;2;0;2020-04-14
05;2;0;2020-04-15
05;2;1;2020-04-16
05;2;1;2020-04-17
05;2;1;2020-04-18
05;2;1;2020-04-19
05;2;1;2020-04-20
05;2;1;2020-04-21
05;2;1;2020-04-22
05;2;1;2020-04-23
05;2;1;2020-04-24
05;2;1;2020-04-25
